City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,olinda,-8.0089,-34.8553,80.33,74,20,4.61,BR,1702266847
218,kruisfontein,-34.0033,24.7314,55.89,85,0,3.71,ZA,1702266912
219,arraial do cabo,-22.9661,-42.0278,72.82,81,100,14.09,BR,1702266680
220,mundargi,15.2167,75.9,77.45,58,97,9.62,IN,1702266914
221,sopishte,41.9547,21.4275,27.28,93,20,2.3,MK,1702266915
222,amga,60.8953,131.9608,-15.52,92,100,8.63,RU,1702266916
223,vanimo,-2.6741,141.3028,84.22,78,91,10.38,PG,1702266917
224,palembang,-2.9167,104.7458,86.09,74,75,3.44,ID,1702266918
225,nicoya,10.1483,-85.452,75.92,90,15,2.91,CR,1702266919
226,maragogi,-9.0122,-35.2225,77.43,78,1,7.02,BR,1702266703
227,guiuan,11.0333,125.7247,83.17,74,100,8.63,PH,1702266921
228,ambon,-3.6954,128.1814,91.54,58,40,9.22,ID,1702266921
229,sidirokastro,41.2347,23.3867,41.29,82,56,4.56,GR,1702266922
230,dudinka,69.4058,86.1778,-16.38,97,100,11.99,RU,1702266923
231,volovets,48.7109,23.1851,31.28,98,98,6.17,UA,1702266924
232,angra do heroismo,38.65,-27.2167,62.11,78,20,5.01,PT,1702266925
233,melekeok village,7.4957,134.6367,88.36,74,75,11.5,PW,1702266926
234,le port,-20.9373,55.2919,83.89,79,30,6.55,RE,1702266927
235,la paz,-16.5,-68.15,48.58,80,75,13.8,BO,1702266928
236,dayton,39.7589,-84.1916,34.72,85,100,12.66,US,1702266793
237,urangan,-25.3,152.9,81.19,69,99,8.01,AU,1702266929
238,juan griego,11.0817,-63.9655,77.47,91,6,9.51,VE,1702266930
239,grand falls-windsor,48.9332,-55.6649,30.51,90,99,12.01,CA,1702266931
240,kirillov,59.863,38.3813,9.99,93,100,9.06,RU,1702266932
241,howard springs,-12.497,131.047,96.98,65,23,7.11,AU,1702266933
242,portland,45.5234,-122.6762,54.28,94,100,5.99,US,1702266119
243,kununurra,-15.7667,128.7333,91.38,40,47,12.66,AU,1702266935
244,petoskey,45.3733,-84.9553,31.69,77,100,8.99,US,1702266936
245,rapla,59.0072,24.7928,22.48,95,100,7.67,EE,1702266938
246,tshikapa,-6.4167,20.8,69.22,98,100,0.85,CD,1702266939
247,burang,30.25,81.1667,20.3,41,4,3.78,CN,1702266941
248,perevolotskiy,51.8763,54.1938,-1.43,84,17,9.66,RU,1702266942
249,raiganj,25.6167,88.1167,69.85,34,0,5.91,IN,1702266943
250,beitbridge,-22.2167,30.0,71.6,87,98,16.51,ZW,1702266944
251,pisco,-13.7,-76.2167,69.03,77,0,12.66,PE,1702266945
252,port saint john's,-31.6229,29.5448,65.14,86,100,1.54,ZA,1702266946
253,midvagur,62.0511,-7.1939,43.63,93,100,5.75,FO,1702266947
254,nova sintra,14.8667,-24.7167,72.82,73,80,12.35,CV,1702266681
255,tayu,-6.5397,111.0518,88.83,57,99,4.59,ID,1702266949
256,yerkoy,39.6381,34.4672,42.49,79,92,2.33,TR,1702266950
257,kutulik,53.3508,102.7839,-18.44,93,22,1.19,RU,1702266950
258,behshahr,36.6923,53.5526,57.15,84,51,0.36,IR,1702266951
259,mermoz boabab,14.7065,-17.4758,73.18,94,0,6.91,SN,1702266952
260,cidreira,-30.1811,-50.2056,68.0,91,100,16.11,BR,1702266953
261,labrador city,52.9463,-66.9114,33.71,86,100,14.97,CA,1702266954
262,darwin,-12.4611,130.8418,97.05,66,75,10.36,AU,1702266852
263,hithadhoo,-0.6,73.0833,82.18,76,95,4.05,MV,1702266956
264,teodoro sampaio,-22.5325,-52.1675,70.03,92,98,3.51,BR,1702266957
265,mar del plata,-38.0023,-57.5575,68.02,77,0,8.05,AR,1702266957
266,les anglais,18.3054,-74.2197,78.21,83,40,6.91,HT,1702266958
267,hammerfest,70.6634,23.6821,27.05,86,100,9.22,NO,1702266959
268,whitefish,48.4111,-114.3376,34.5,94,100,4.61,US,1702266960
269,lompoc,34.6391,-120.4579,55.78,61,0,3.44,US,1702266961
270,camana,-16.6228,-72.7111,68.5,81,100,6.67,PE,1702266962
271,pandan,14.0453,124.1694,84.0,72,85,10.47,PH,1702266963
272,tafuna,-14.3358,-170.72,85.95,89,75,5.75,AS,1702266963
273,zinder,13.8072,8.9881,59.86,30,0,15.37,NE,1702266964
274,qui nhon,13.7667,109.2333,79.47,74,59,4.07,VN,1702266965
275,ruteng,-8.6136,120.4721,75.0,72,96,3.33,ID,1702266967
276,swakopmund,-22.6833,14.5333,61.99,80,87,3.0,NA,1702266969
277,finley,46.154,-119.0339,50.58,98,100,4.61,US,1702266952
278,santa maria del oro,25.9333,-105.3667,46.02,41,0,2.73,MX,1702266971
279,borba,-4.3878,-59.5939,75.69,97,93,2.08,BR,1702266972
280,uturoa,-16.7333,-151.4333,80.55,80,21,23.55,PF,1702266973
281,longyearbyen,78.2186,15.6401,26.44,63,20,18.41,SJ,1702266778
282,sabang,5.8933,95.3214,81.77,74,68,2.13,ID,1702266975
283,ciudad bolivar,8.1222,-63.5497,78.78,76,9,9.1,VE,1702266976
284,calama,-22.4667,-68.9333,59.49,11,0,1.14,CL,1702266848
285,zaysan,47.4667,84.8667,9.81,84,100,2.51,KZ,1702266977
286,chernyshevskiy,63.0128,112.4714,-21.3,97,99,3.02,RU,1702266978
287,acapulco de juarez,16.8634,-99.8901,79.79,78,99,3.11,MX,1702266979
288,huarmey,-10.0681,-78.1522,68.45,85,96,8.03,PE,1702266980
289,tefenni,37.3097,29.7754,40.17,93,100,2.71,TR,1702266981
290,zhanibek,49.4167,46.85,15.82,66,97,14.38,KZ,1702266982
291,neiafu,-18.65,-173.9833,83.08,65,20,8.05,TO,1702266983
292,pangody,65.85,74.4859,-23.12,95,100,9.19,RU,1702266984
293,thanh hoa,19.8,105.7667,80.64,72,52,6.29,VN,1702266984
294,sheridan,44.8333,-106.9173,30.58,74,100,0.0,US,1702266936
295,chapada dos guimaraes,-15.4606,-55.7497,69.46,66,100,3.29,BR,1702266986
296,san luis de la loma,17.2706,-100.8939,79.74,73,100,3.65,MX,1702266987
297,mahebourg,-20.4081,57.7,79.25,78,75,5.75,MU,1702266988
298,swift current,50.2834,-107.8014,29.21,86,0,10.36,CA,1702266989
299,wau,7.7029,27.9953,75.76,32,98,3.94,SS,1702266990
300,sao jose da coroa grande,-8.8978,-35.1478,77.65,78,2,7.16,BR,1702266721
301,paphos,34.7667,32.4167,56.98,67,0,4.61,CY,1702266991
302,hobyo,5.3505,48.5268,80.28,75,97,18.05,SO,1702266992
303,blankenberge,51.3131,3.1323,53.55,68,58,11.01,BE,1702266993
304,port isabel,26.0734,-97.2086,48.24,71,0,3.44,US,1702266994
305,san rafael,-34.6177,-68.3301,78.89,30,19,22.48,AR,1702266995
306,nort-sur-erdre,47.4333,-1.5,57.38,100,100,8.19,FR,1702266996
307,linkou,45.3,130.2833,3.81,70,82,0.98,CN,1702266997
308,cannonvale,-20.2833,148.7,76.39,92,100,27.67,AU,1702266998
309,holualoa,19.6228,-155.9522,76.87,76,20,5.75,US,1702266999
310,tromso,69.6496,18.957,26.62,68,75,19.57,NO,1702266999
311,suva,-18.1416,178.4415,81.88,57,40,13.8,FJ,1702267000
312,wundanyi,-3.4019,38.364,62.58,89,46,3.0,KE,1702267001
313,jeju city,33.5097,126.5219,67.93,73,75,3.44,KR,1702267002
314,koronowo,53.3137,17.937,37.53,99,100,9.57,PL,1702267003
315,zvishavane,-20.3267,30.0665,67.1,92,98,4.97,ZW,1702267004
316,la libertad,-2.2333,-80.9,75.22,83,36,9.4,EC,1702267005
317,walvis bay,-22.9575,14.5053,62.1,77,77,8.05,NA,1702266744
318,peace river,56.2501,-117.286,25.11,63,20,8.05,CA,1702267006
319,nchelenge,-9.3451,28.734,70.77,90,100,5.17,ZM,1702267007
320,ouadda,8.0777,22.4007,69.37,40,90,3.42,CF,1702267008
321,chibougamau,49.9168,-74.3659,20.82,93,40,6.91,CA,1702267009
322,northam,51.0333,-4.2167,53.65,90,55,21.81,GB,1702267011
323,kuluncak,38.8828,37.6728,41.95,95,100,7.18,TR,1702267011
324,turpan,42.9333,89.1667,36.95,57,35,2.15,CN,1702267012
325,onega,63.9061,38.1404,8.74,92,100,9.84,RU,1702267013
326,hasaki,35.7333,140.8333,61.2,71,48,11.59,JP,1702267014
327,inhambane,-23.865,35.3833,79.54,87,60,9.42,MZ,1702267015
328,puerto ayacucho,5.6639,-67.6236,78.57,83,90,3.29,VE,1702267016
329,chonchi,-42.6128,-73.8092,51.01,95,98,2.57,CL,1702267017
330,paka,4.6374,103.4368,80.53,89,40,5.75,MY,1702267018
331,zakamensk,50.3741,103.2863,-7.26,84,85,0.96,RU,1702267018
332,kimbe,-5.5502,150.1429,77.04,97,100,2.75,PG,1702267019
333,altay,47.8667,88.1167,11.93,65,100,4.45,CN,1702267020
